sku,description,channel,category,brandTier,lifecycle,uom,costPrice,stdCost,stockDays,hazmat,contractPrice
A-1001,Cordless drill 18V,RETAIL,POWER_TOOLS,GOLD,ACTIVE,EACH,68.40,68.40,45,N,
A-1002,Drill bit set 40pc,RETAIL,ACCESSORIES,SILVER,ACTIVE,EACH,12.10,12.10,20,N,
A-1003,Angle grinder 125mm,RETAIL,POWER_TOOLS,PLATINUM,ACTIVE,EACH,142.00,142.00,60,N,
A-1004,Safety goggles,RETAIL,PPE,PRIVATE,ACTIVE,EACH,4.25,4.25,15,N,
A-1005,Solvent cleaner 5L,RETAIL,CHEMICALS,SILVER,ACTIVE,EACH,22.80,22.80,90,Y,
A-1006,Workbench 1.8m,WHOLESALE,FURNITURE,SILVER,ACTIVE,PALLET,410.00,410.00,120,N,
A-1007,Bulk screws 10k,WHOLESALE,FASTENERS,PRIVATE,ACTIVE,PALLET,880.00,880.00,30,N,
A-1008,Impact driver kit,WHOLESALE,POWER_TOOLS,GOLD,ACTIVE,EACH,196.50,196.50,55,N,175.00
A-1009,Legacy sander,RETAIL,POWER_TOOLS,SILVER,CLEARANCE,EACH,58.00,58.00,410,N,
A-1010,Discontinued blade,WHOLESALE,ACCESSORIES,SILVER,DISCONTINUED,EACH,9.50,9.50,600,N,
A-1011,Industrial press,WHOLESALE,MACHINERY,PLATINUM,ACTIVE,EACH,4250.00,4250.00,200,N,
A-1012,Ear defenders,RETAIL,PPE,PRIVATE,CLEARANCE,EACH,7.90,7.90,240,N,
A-1013,Compressor oil 1L,RETAIL,CHEMICALS,SILVER,ACTIVE,EACH,,6.40,35,Y,
A-1014,Internal test item,INTERNAL,MISC,SILVER,ACTIVE,EACH,1.00,1.00,5,N,
A-1015,Torque wrench,RETAIL,HAND_TOOLS,GOLD,ACTIVE,EACH,"1,240.00","1,240.00",70,N,
